GM_COUNTY_NAME,GM_DATASET_NAME,GM_WELL_CATEGORY,GM_DATA_SOURCE,GM_WELL_ID,GM_CHEMICAL_VVL,GM_CHEMICAL_NAME,GM_RESULT_MODIFIER,GM_RESULT,GM_CHEMICAL_UNITS,GM_REPORTING_LIMIT,GM_SAMP_COLLECTION_DATE,GM_LATITUDE,GM_LONGITUDE,GM_WELL_DEPTH_FT,GM_TOP_DEPTH_OF_SCREEN_FT,GM_BOTTOM_DEPTH_OF_SCREEN_FT,GM_CAS_NUMBER,GM_ALTWELL_ID1,GM_ALTWELL_ID2,GM_ALTWELL_ID3,SRC_CHEMICAL,SRC_RESULT_MODIFIER,SRC_RESULT,SRC_CHEMICAL_UNITS,SRC_REPORTING_LIMIT,SRC_SAMP_COLLECTION_DATE,SRC_SAMP_COLLECTION_TIME,SRC_ANALYSIS_DATE,SRC_ANALYTICAL_METHOD,SRC_LAB_NOTE,SRC_LATITUDE,SRC_LONGITUDE,SRC_DATUM,SRC_WELL_DEPTH_FT,SRC_TOP_DEPTH_OF_SCREEN_FT,SRC_BOTTOM_DEPTH_OF_SCREEN_FT,SRC_WELL_CATEGORY,source_file
LOS ANGELES,DDW,Municipal,DDW,CA1910067_064_064,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/26/2012,34.192972,-118.381914,NA,180,280,NA,1910067-064,NA,NA,2314,Y,NA,UG/L     ,0,04/26/2012,08:10:00,05/03/2012,NA,WECK LABORATORIES,34.192972,-118.381914,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910067_063_063,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,05/30/2014,34.194864,-118.384466,NA,190,286,NA,1910067-063,NA,NA,2314,Y,NA,UG/L     ,0,05/30/2014,08:30:00,06/17/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.194864,-118.384466,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910067_185_185,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,01/08/2014,34.229889,-118.413783,NA,400,730,NA,1910067-185,NA,NA,2314,Y,NA,UG/L     ,0,01/08/2014,08:35:00,01/24/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.229889,-118.413783,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_002_002,NNSM,N-Nitrosodimethylamine (NDMA),=,0.21,UG/L,0,10/11/2011,34.066637,-117.967712,NA,576,726,NA,1910060-002,NA,NA,2314,N,0.21,UG/L     ,0,10/11/2011,13:00:00,10/14/2011,NA,WECK LABORATORIES,34.066637,-117.967712,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910253_001_001,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,06/21/2011,34.018051,-118.078957,NA,NA,NA,NA,1910253-001,NA,NA,2314,Y,NA,UG/L     ,0,06/21/2011,09:00:00,06/28/2011,NA,EUROFINS CALSCIENCE IRVINE,34.018051,-118.078957,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_005_005,NNSM,N-Nitrosodimethylamine (NDMA),=,0.013,UG/L,0,12/02/2013,34.061839,-118.006522,NA,197,319,NA,1910199-005,NA,NA,2314,N,0.013,UG/L     ,0,12/02/2013,09:37:00,12/04/2013,NA,EUROFINS EATON ANALYTICAL POMONA,34.061839,-118.006522,NA,NA,NA,NA,NA,p9.txt
SONOMA,DDW,Municipal,DDW,CA4910020_006_006,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,08/08/2012,38.386369,-122.778481,NA,NA,NA,NA,4910020-006,NA,NA,2314,Y,NA,UG/L     ,0,08/08/2012,04:45:00,08/14/2012,NA,WECK LABORATORIES,38.386369,-122.778481,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_007_007,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,07/02/2012,34.064721,-118.005561,NA,200,322,NA,1910199-007,NA,NA,2314,Y,NA,UG/L     ,0,07/02/2012,08:55:00,07/25/2012,NA,EUROFINS EATON ANALYTICAL POMONA,34.064721,-118.005561,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_069_069,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,10/01/2014,34.056728,-118.002232,NA,980,1107,NA,1910039-069,NA,NA,2314,Y,NA,UG/L     ,0,10/01/2014,10:00:00,10/07/2014,NA,WECK LABORATORIES,34.056728,-118.002232,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_066_066,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,02/03/2011,34.061567,-118.068743,NA,700,740,NA,1910039-066,NA,NA,2314,Y,NA,UG/L     ,0,02/03/2011,09:10:00,02/08/2011,NA,WECK LABORATORIES,34.061567,-118.068743,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_023_023,NNSM,N-Nitrosodimethylamine (NDMA),=,0.023,UG/L,0,08/02/2011,34.056043,-118.002441,NA,NA,NA,NA,1910039-023,NA,NA,2314,N,0.023,UG/L     ,0,08/02/2011,10:20:00,08/04/2011,NA,WECK LABORATORIES,34.056043,-118.002441,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_113_113,NNSM,N-Nitrosodimethylamine (NDMA),=,0.01,UG/L,0,12/05/2011,34.065769,-117.990582,NA,NA,NA,NA,1910039-113,NA,NA,2314,N,0.01,UG/L     ,0,12/05/2011,08:25:00,12/05/2011,NA,WECK LABORATORIES,34.065769,-117.990582,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_116_116,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,08/23/2012,34.035888,-117.971055,NA,600,1036,NA,1910039-116,NA,NA,2314,Y,NA,UG/L     ,0,08/23/2012,10:50:00,08/24/2012,NA,WECK LABORATORIES,34.035888,-117.971055,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_113_113,NNSM,N-Nitrosodimethylamine (NDMA),=,0.005,UG/L,0,03/25/2011,34.065769,-117.990582,NA,NA,NA,NA,1910039-113,NA,NA,2314,N,0.005,UG/L     ,0,03/25/2011,13:35:00,03/28/2011,NA,WECK LABORATORIES,34.065769,-117.990582,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_006_006,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,01/03/2012,34.065743,-118.006284,NA,460,582,NA,1910199-006,NA,NA,2314,Y,NA,UG/L     ,0,01/03/2012,08:43:00,01/07/2012,NA,EUROFINS EATON ANALYTICAL POMONA,34.065743,-118.006284,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_066_066,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,05/23/2013,34.061567,-118.068743,NA,700,740,NA,1910039-066,NA,NA,2314,Y,NA,UG/L     ,0,05/23/2013,10:00:00,05/30/2013,NA,WECK LABORATORIES,34.061567,-118.068743,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_077_077,NNSM,N-Nitrosodimethylamine (NDMA),=,0.16,UG/L,0,07/02/2014,34.055506,-118.002891,NA,500,633,NA,1910039-077,NA,NA,2314,N,0.16,UG/L     ,0,07/02/2014,11:00:00,07/04/2014,NA,WECK LABORATORIES,34.055506,-118.002891,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910039_114_114,NNSM,N-Nitrosodimethylamine (NDMA),=,0.25,UG/L,0,01/04/2013,34.06782,-117.975721,NA,NA,NA,NA,1910039-114,NA,NA,2314,N,0.25,UG/L     ,0,01/04/2013,08:15:00,01/07/2013,NA,WECK LABORATORIES,34.06782,-117.975721,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910240_026_026,NNSM,N-Nitrosodimethylamine (NDMA),=,0.003,UG/L,0,06/11/2014,34.425873,-118.553873,NA,130,180,NA,1910240-026,NA,NA,2314,N,0.003,UG/L     ,0,06/11/2014,08:40:00,06/19/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.425873,-118.553873,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910179_004_004,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/12/2017,34.187837,-118.344884,NA,153,313,NA,1910179-004,NA,NA,2314,Y,NA,UG/L     ,0,04/12/2017,11:25:00,04/18/2017,NA,WECK LABORATORIES,34.187837,-118.344884,NA,NA,NA,NA,NA,p9.txt
